# Format: name,enabled,days,start_hour,start_min,end_hour,end_min,image,progressbar
# enabled: 1=true, 0=false
# days: 0-6 for Mon-Sun (e.g., "01234" = Mon-Fri)
# progressbar: 1=true, 0=false
Eat Breakfast,1,5,7,15,7,40,breakfast.bmp,1
Toilet and Teeth AM,1,5,7,40,7,50,toilet_and_teeth.bmp,1
Go to School,1,5,7,50,8,15,go_to_school.bmp,1
Quiet Time,1,5,12,30,13,30,quiet_time.bmp,1
Bath Time,1,5,19,0,19,30,bath_time.bmp,1
Pajamas On,1,5,19,30,19,40,get_dressed_night.bmp,1
Tree Decoration,1,5,19,40,20,30,decorate_tree.bmp,1
Sleep,1,5,20,45,21,20,bed.bmp,0
Night Mode,1,5,22,30,23,59,night_mode.bmp,0
Night Mode AM,1,5,0,0,5,30,night_mode.bmp,0
Brush Teeth,1,5,20,30,20,45,brush_teeth.bmp,0
