# Format: name,enabled,days,start_hour,start_min,end_hour,end_min,image,progressbar
# enabled: 1=true, 0=false
# days: 0-6 for Mon-Sun (e.g., "01234" = Mon-Fri)
# progressbar: 1=true, 0=false
RAPID TEST1,1,4,12,35,12,45,get_dressed_night.bmp,1
RAPID TEST2,1,4,12,45,12,55,art class.bmp,1
RAPID TEST3,1,4,12,55,13,10,get_dressed_halloween.bmp,1
RAPID TEST4,1,4,13,10,13,25,get_dressed.bmp,1
RAPID TEST5,1,4,13,25,13,40,toilet_and_teeth.bmp,1
RAPID TEST6,1,4,13,40,13,55,gimnastics.bmp,1
RAPID TEST7,1,4,13,55,14,10,story_and_bed.bmp,1
RAPID TEST8,1,4,14,10,14,20,soccer.bmp,1
RAPID TEST9,1,4,14,20,14,30,bed.bmp,1
RAPID TEST10,1,4,14,30,14,55,breakfast.bmp,1
HRTEST 1of2,1,4,15,20,16,20,basketball.bmp,1
HRTEST 2of2,1,4,16,20,17,20,baseball.bmp,1
LONG TEST,1,4,17,50,20,0,art class.bmp,1
