# Format: name,enabled,days,start_hour,start_min,end_hour,end_min,image,progressbar
# enabled: 1=true, 0=false
# days: 0-6 for Mon-Sun (e.g., "01234" = Mon-Fri)
# progressbar: 1=true, 0=false

Get Dressed,1,5,7,0,7,15,get_dressed.bmp,1
Eat Breakfast,1,5,7,15,7,40,breakfast.bmp,1
Toilet and Teeth AM,1,5,7,40,7,50,toilet_and_teeth.bmp,1

Get Ready,1,5,17,30,18,30,get_dressed_halloween.bmp,1
Go,1,5,18,30,19,0,scooter.bmp,1

Bath Time,1,5,20,30,21,0,bath_time.bmp,1
Pajamas On,1,5,21,00,21,15,get_dressed_night.bmp,1
Toilet and Teeth PM,1,5,21,15,21,30,toilet_and_teeth.bmp,1
Sleep,1,5,21,30,22,00,bed.bmp,0

